STATE,STATENAME,ST_CASE,VEH_NO,PVEHICLESF,PVEHICLESFNAME
1,Alabama,10011,2,0,None
1,Alabama,10128,2,0,None
1,Alabama,10155,2,0,None
1,Alabama,10181,2,0,None
1,Alabama,10279,3,0,None
1,Alabama,10298,2,0,None
1,Alabama,10314,2,0,None
1,Alabama,10359,2,0,None
1,Alabama,10443,3,0,None
1,Alabama,10443,4,0,None
1,Alabama,10548,2,0,None
1,Alabama,10602,2,0,None
1,Alabama,10792,3,0,None
1,Alabama,10792,4,0,None
1,Alabama,10809,2,0,None
1,Alabama,10830,2,0,None
1,Alabama,10851,2,0,None
1,Alabama,10852,2,0,None
1,Alabama,10860,2,0,None
1,Alabama,10872,2,0,None
2,Alaska,20002,2,0,None
4,Arizona,40094,2,0,None
4,Arizona,40141,2,0,None
4,Arizona,40163,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
4,Arizona,40411,2,0,None
4,Arizona,40411,3,0,None
4,Arizona,40411,4,0,None
4,Arizona,40423,2,0,None
4,Arizona,40423,3,0,None
4,Arizona,40436,2,0,None
4,Arizona,40533,2,0,None
4,Arizona,40578,2,0,None
4,Arizona,40666,2,0,None
4,Arizona,40669,2,0,None
4,Arizona,40704,2,0,None
4,Arizona,40762,3,0,None
4,Arizona,40815,2,0,None
4,Arizona,40817,3,0,None
4,Arizona,40903,2,0,None
4,Arizona,40950,2,0,None
4,Arizona,40986,2,0,None
4,Arizona,41015,3,999,Reported as Unknown
5,Arkansas,50008,2,0,None
5,Arkansas,50008,3,0,None
5,Arkansas,50008,4,0,None
5,Arkansas,50077,2,0,None
5,Arkansas,50077,3,0,None
5,Arkansas,50566,2,0,None
5,Arkansas,50582,1,0,None
5,Arkansas,50631,2,0,None
6,California,60001,2,0,None
6,California,60008,2,0,None
6,California,60034,2,0,None
6,California,60069,3,0,None
6,California,60124,2,0,None
6,California,60180,2,0,None
6,California,60202,2,0,None
6,California,60240,2,0,None
6,California,60308,4,0,None
6,California,60323,2,0,None
6,California,60405,2,0,None
6,California,60531,2,0,None
6,California,60531,3,0,None
6,California,60531,4,0,None
6,California,60531,5,0,None
6,California,60534,2,0,None
6,California,60590,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
6,California,60605,2,0,None
6,California,60715,2,0,None
6,California,60756,2,0,None
6,California,60810,3,0,None
6,California,60819,3,0,None
6,California,60819,4,0,None
6,California,60858,2,0,None
6,California,60869,2,0,None
6,California,60871,3,0,None
6,California,60871,4,0,None
6,California,60871,5,0,None
6,California,60871,6,0,None
6,California,60953,2,0,None
6,California,60958,1,0,None
6,California,60995,2,0,None
6,California,61039,2,0,None
6,California,61045,3,0,None
6,California,61053,2,0,None
6,California,61061,3,0,None
6,California,61106,3,0,None
6,California,61107,2,0,None
6,California,61115,2,0,None
6,California,61192,2,0,None
6,California,61192,3,0,None
6,California,61192,4,0,None
6,California,61228,2,0,None
6,California,61238,2,0,None
6,California,61243,3,0,None
6,California,61243,4,0,None
6,California,61255,2,0,None
6,California,61294,3,0,None
6,California,61294,4,0,None
6,California,61356,2,0,None
6,California,61428,3,0,None
6,California,61505,3,0,None
6,California,61505,4,0,None
6,California,61507,2,0,None
6,California,61519,3,0,None
6,California,61551,3,0,None
6,California,61552,2,0,None
6,California,61552,3,0,None
6,California,61552,4,0,None
6,California,61552,5,0,None
6,California,61552,6,0,None
6,California,61552,7,0,None
6,California,61552,8,0,None
6,California,61560,2,0,None
6,California,61561,2,0,None
6,California,61563,2,0,None
6,California,61595,2,0,None
6,California,61595,3,0,None
6,California,61595,4,0,None
6,California,61595,5,0,None
6,California,61599,2,0,None
6,California,61599,3,0,None
6,California,61599,4,0,None
6,California,61614,2,0,None
6,California,61621,4,0,None
6,California,61645,3,0,None
6,California,61678,6,0,None
6,California,61678,7,0,None
6,California,61678,8,0,None
6,California,61678,9,0,None
6,California,61678,10,0,None
6,California,61681,2,0,None
6,California,61681,3,0,None
6,California,61686,2,0,None
6,California,61686,3,0,None
6,California,61723,2,0,None
6,California,61756,3,0,None
6,California,61805,2,0,None
6,California,61811,2,0,None
6,California,61811,3,0,None
6,California,61811,4,0,None
6,California,61811,5,0,None
6,California,61827,2,0,None
6,California,61855,4,0,None
6,California,61855,5,0,None
6,California,61856,2,0,None
6,California,61872,2,0,None
6,California,61906,2,0,None
6,California,61925,2,0,None
6,California,61927,2,0,None
6,California,61927,3,0,None
6,California,61972,3,0,None
6,California,61986,2,0,None
6,California,61993,3,0,None
6,California,62044,2,0,None
6,California,62056,2,0,None
6,California,62056,3,0,None
6,California,62057,2,0,None
6,California,62107,3,0,None
6,California,62107,4,0,None
6,California,62111,2,0,None
6,California,62160,3,0,None
6,California,62162,2,0,None
6,California,62172,3,0,None
6,California,62175,2,0,None
6,California,62181,2,0,None
6,California,62183,2,0,None
6,California,62183,3,0,None
6,California,62183,4,0,None
6,California,62184,2,0,None
6,California,62184,3,0,None
6,California,62184,4,0,None
6,California,62268,2,0,None
6,California,62324,2,0,None
6,California,62324,3,0,None
6,California,62353,2,0,None
6,California,62428,3,0,None
6,California,62428,4,0,None
6,California,62430,3,0,None
6,California,62438,2,0,None
6,California,62441,2,0,None
6,California,62482,2,0,None
6,California,62491,3,0,None
6,California,62491,4,0,None
6,California,62500,3,0,None
6,California,62500,4,0,None
6,California,62500,5,0,None
6,California,62503,2,0,None
6,California,62536,2,0,None
6,California,62536,3,0,None
6,California,62539,2,0,None
6,California,62593,3,0,None
6,California,62597,2,0,None
6,California,62597,3,0,None
6,California,62597,4,0,None
6,California,62597,5,0,None
6,California,62605,2,0,None
6,California,62610,3,0,None
6,California,62611,2,0,None
6,California,62611,3,0,None
6,California,62611,4,0,None
6,California,62611,5,0,None
6,California,62611,6,0,None
6,California,62611,7,0,None
6,California,62611,8,0,None
6,California,62611,9,0,None
6,California,62611,10,0,None
6,California,62633,2,0,None
6,California,62638,3,0,None
6,California,62641,2,0,None
6,California,62648,2,0,None
6,California,62648,3,0,None
6,California,62650,3,0,None
6,California,62681,2,0,None
6,California,62688,2,0,None
6,California,62709,3,0,None
6,California,62726,2,0,None
6,California,62727,3,0,None
6,California,62727,4,0,None
6,California,62729,2,0,None
6,California,62730,2,0,None
6,California,62744,2,0,None
6,California,62744,3,0,None
6,California,62744,4,0,None
6,California,62750,3,0,None
6,California,62834,2,0,None
6,California,62847,2,0,None
6,California,62851,2,0,None
6,California,62888,2,0,None
6,California,62960,3,0,None
6,California,62960,4,0,None
6,California,62970,2,0,None
6,California,62977,4,0,None
6,California,63022,2,0,None
6,California,63052,2,0,None
6,California,63060,2,0,None
6,California,63088,2,0,None
6,California,63088,3,0,None
6,California,63092,3,0,None
6,California,63092,4,0,None
6,California,63104,2,0,None
6,California,63106,2,0,None
6,California,63118,2,0,None
6,California,63118,3,0,None
6,California,63118,4,0,None
6,California,63118,5,0,None
6,California,63126,2,0,None
6,California,63131,2,0,None
6,California,63131,3,0,None
6,California,63143,2,0,None
6,California,63143,3,0,None
6,California,63143,4,0,None
6,California,63145,2,0,None
6,California,63145,3,0,None
6,California,63145,4,0,None
6,California,63257,2,0,None
6,California,63277,2,0,None
6,California,63284,3,0,None
6,California,63304,3,0,None
6,California,63338,2,0,None
6,California,63349,2,0,None
6,California,63370,2,0,None
6,California,63391,2,0,None
6,California,63391,3,0,None
6,California,63404,2,0,None
6,California,63404,3,0,None
6,California,63421,3,0,None
6,California,63421,4,0,None
6,California,63467,3,0,None
6,California,63467,4,0,None
6,California,63472,2,0,None
6,California,63472,3,0,None
6,California,63472,4,0,None
6,California,63472,5,0,None
6,California,63472,6,0,None
6,California,63472,7,0,None
6,California,63514,5,0,None
6,California,63520,2,0,None
6,California,63540,2,0,None
6,California,63544,2,0,None
6,California,63552,2,0,None
6,California,63562,3,0,None
6,California,63578,2,0,None
6,California,63583,2,0,None
6,California,63658,2,0,None
6,California,63671,2,0,None
6,California,63682,2,0,None
6,California,63682,3,0,None
6,California,63682,4,0,None
6,California,63682,5,0,None
6,California,63682,6,0,None
6,California,63686,2,0,None
6,California,63732,2,0,None
6,California,63803,2,0,None
6,California,63803,3,0,None
6,California,63805,3,0,None
6,California,63816,2,0,None
6,California,63817,3,0,None
6,California,63817,4,0,None
6,California,63825,2,0,None
6,California,63825,3,0,None
6,California,63828,2,0,None
6,California,63832,3,0,None
6,California,63841,2,0,None
6,California,63855,2,0,None
6,California,63888,2,0,None
6,California,63903,2,0,None
6,California,63903,3,0,None
6,California,63903,4,0,None
6,California,63903,5,0,None
6,California,63903,6,0,None
6,California,63904,3,0,None
6,California,63905,2,0,None
6,California,63931,2,0,None
6,California,63936,2,0,None
6,California,63936,3,0,None
6,California,63957,4,0,None
6,California,63962,2,0,None
6,California,63986,3,0,None
6,California,63986,4,0,None
6,California,63988,3,0,None
